# *** Generated by BoomWorks.Org(C) SourceCounter 2.5.5.9 *** 
# *** Author: boomworks@hotmail.com *** 


Folder,File,Type,Lines,Code lines,Code//Comment,Comment lines,Blank lines,Size,Man-Day,Cost,UT Cases,UT Defects,IT Cases,IT Defects
E:\slowlife\travel\templates\travel,travel.html,.html,95,87,0,0,8,3515,0.44,217.50,4.35,0.87,1.74,0.17
E:\slowlife\whole,admin.py,.py,9,7,0,0,2,260,0.04,17.50,0.35,0.07,0.14,0.01
E:\slowlife\whole,apps.py,.py,5,3,0,0,2,85,0.01,7.50,0.15,0.03,0.06,0.01
E:\slowlife\whole,deHTML.py,.py,47,37,0,0,10,1276,0.19,92.50,1.85,0.37,0.74,0.07
E:\slowlife\whole,forms.py,.py,7,5,0,0,2,155,0.03,12.50,0.25,0.05,0.10,0.01
E:\slowlife\whole,models.py,.py,17,16,0,0,1,819,0.08,40.00,0.80,0.16,0.32,0.03
E:\slowlife\whole,tests.py,.py,3,2,0,0,1,60,0.01,5.00,0.10,0.02,0.04,0.00
E:\slowlife\whole,views.py,.py,376,337,0,0,39,14796,1.68,842.50,16.85,3.37,6.74,0.67
E:\slowlife\whole,__init__.py,.py,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
E:\slowlife\whole\migrations,0001_initial.py,.py,28,22,0,0,6,1154,0.11,55.00,1.10,0.22,0.44,0.04
E:\slowlife\whole\migrations,0002_auto_20170415_2114.py,.py,29,24,0,0,5,795,0.12,60.00,1.20,0.24,0.48,0.05
E:\slowlife\whole\migrations,0003_auto_20170416_1442.py,.py,25,20,0,0,5,749,0.10,50.00,1.00,0.20,0.40,0.04
E:\slowlife\whole\migrations,0004_auto_20170416_1724.py,.py,23,18,0,0,5,511,0.09,45.00,0.90,0.18,0.36,0.04
E:\slowlife\whole\migrations,__init__.py,.py,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00


# *** Total ***
# File,221
# Size,522
# Lines,18074,100%
# Code lines,15461,85.5%
# Code//Comment,31,0.2%
# Comment lines,594,3.3%
# Blank lines,1988,11.0%
# Man-Day, 3.87
# Cost, 38730.00
# UT Cases, 774.60
# UT Defects, 154.92
# IT Cases, 309.84
# IT Defects, 30.98
